1           1
-.689722270458028E+00  -.686257505521936E-01  0.166546861276174E-01
0.150385358966643E-01  -.548454614380165E+00  0.302236971421538E-01
-.354933442285526E+00  0.199504117341718E+00  0.710719603744040E-01
0.365250933986814E+00  0.184835129747970E+00  0.736896964388613E-01
0.313688927655364E+00  -.291043349558058E+00  0.839143384738046E-01
0.652620194555468E+00  -.487418587640997E-01  0.358372195228234E-01
0.454724761382470E+00  0.303494757384959E+00  0.334652966391477E-01
0.666636353842606E+00  -.404910075898040E+00  0.512381329727468E-01
-.473004892821372E+00  0.269268567885396E+00  0.345978408260924E-01
-.153282731839437E+00  0.501325736666315E+00  0.722591200239955E-01
0.422670281069881E-02  0.750071872626394E+00  0.554161821217542E-01
-.383464527505312E+00  -.542859225412268E+00  0.333087862333653E-01
0.734336533889927E+00  -.546533721979769E+00  0.218007009813340E-01
0.534310589034836E+00  -.149612941313531E+00  0.712377078857728E-01
-.103561690187615E+00  0.894476488724395E+00  0.282656759867808E-01
0.969110384107670E-01  0.908423115515260E+00  0.259581384217373E-01
0.208768591757306E+00  0.558606916293379E+00  0.561918380271720E-01
0.820960770711240E+00  -.345505877709736E+00  0.287093424841673E-01
-.716867913294221E+00  -.538598508760140E+00  0.277379888843749E-01
-.375135120409829E+00  -.398065691835091E+00  0.688062728364186E-01
-.667558764790970E+00  -.377411377655253E+00  0.529772021252486E-01
-.833834306310575E+00  -.360281730852894E+00  0.248020976169168E-01
0.925214556925571E+00  -.531594655928202E+00  0.143301680675169E-01
-.156346172334354E-02  0.107086755706859E+01  0.131367101933027E-01
-.924088808923286E+00  -.534903837497578E+00  0.141289378327863E-01
-.270104163436340E+00  0.611137480422073E+00  0.361651631130270E-01

14          41
0.561525098676295E+00  -.187063543817362E+00  0.465727504688359E-01
-.230104553619817E+00  -.410730050647297E+00  0.459901384610731E-01
0.455724126025542E+00  0.225159972270286E-01  0.509929733907079E-01
-.419969586895124E+00  -.381615345257126E+00  0.449969452211740E-01
0.442625717041789E+00  -.436050237127059E+00  0.524890779561219E-01
0.308768741642983E+00  -.222092414081217E+00  0.807240763851183E-01
0.687532439055215E+00  -.390734340103468E+00  0.428620862916291E-01
-.211219647712066E+00  -.544198850184341E+00  0.320240587932315E-01
0.866312309488964E-01  -.409130493425588E+00  0.650373980882743E-01
0.781568466074446E+00  -.539050336241929E+00  0.209007096828975E-01
-.128960614016027E+00  0.143805796350794E+00  0.944058189964135E-01
-.557262887269369E+00  0.128349994088912E+00  0.296618606377590E-01
-.387197438484916E+00  0.159347781488214E+00  0.693348434751928E-01
0.305081349700452E+00  0.297432996504519E+00  0.615016048863876E-01
-.668424541628829E+00  -.397135595558762E+00  0.464591095621079E-01
0.171079380649464E+00  -.545046116044079E+00  0.309192930830118E-01
0.536935933778977E-01  0.425698350824948E+00  0.819868413536072E-01
-.502624094507841E-01  -.177691706082850E+00  0.944766836454517E-01
-.831514143991672E+00  -.543306361058540E+00  0.177826276928906E-01
-.360558723312486E+00  0.463219358178932E+00  0.329293255560230E-01
-.365497896666251E+00  -.143448886601841E+00  0.810212570708984E-01
0.393581733139645E+00  0.409783532430474E+00  0.303203331417997E-01
0.953251042188380E+00  -.561931857037971E+00  0.479751154141643E-02
0.171310810998122E+00  0.667524016939812E-01  0.920026589754709E-01
-.186353574216887E+00  0.482118022873096E+00  0.693646602533118E-01
