1           1
0.480100249285706E+00  -.100976456182317E+00  0.742826504995702E+00

7          12
0.380554433208316E+00  -.380554433208316E+00  0.520592916667394E+00
-.380554433208316E+00  -.380554433208316E+00  0.520592916667394E+00
-.380554433208316E+00  0.380554433208316E+00  0.520592916667394E+00
0.380554433208316E+00  0.380554433208316E+00  0.520592916667394E+00
-.805979782918599E+00  -.805979782918599E+00  0.237431774690630E+00
-.805979782918599E+00  0.805979782918599E+00  0.237431774690630E+00
0.805979782918599E+00  0.805979782918599E+00  0.237431774690630E+00
0.805979782918599E+00  -.805979782918599E+00  0.237431774690630E+00
-.925820099772551E+00  0.000000000000000E+00  0.241975308641975E+00
0.000000000000000E+00  0.925820099772551E+00  0.241975308641975E+00
0.925820099772551E+00  0.000000000000000E+00  0.241975308641975E+00
0.000000000000000E+00  -.925820099772551E+00  0.241975308641975E+00

8          16
-.227221864936912E+00  0.870314604140404E+00  0.204245745375893E+00
0.278678279812480E+00  0.985626264019915E+00  0.736367691187074E-01
0.921572198839564E+00  0.222409550035862E+00  0.193156106269186E+00
-.522942701555180E+00  -.928226425988268E+00  0.160790856417605E+00
0.830917058937661E+00  0.843511176126523E+00  0.163511569625457E+00
-.608025401846290E+00  0.582594604267371E+00  0.310286431187124E+00
-.982254906616708E+00  -.821126683194802E+00  0.646315768813629E-01
0.495947073136160E-01  -.691723944678145E+00  0.429943320894063E+00
0.591001395753786E+00  -.261440696978485E+00  0.456475909576059E+00
0.362658921275484E+00  0.519812113562016E+00  0.472513607959160E+00
-.936916259480118E+00  0.215377199632934E+00  0.170104886349013E+00
-.885013122066316E+00  0.909038421620713E+00  0.870481276418652E-01
-.193465824027229E+00  0.352632187464321E-01  0.570953446332848E+00
0.577245368191911E+00  -.962255555596149E+00  0.120349878666210E+00
0.921307016403527E+00  -.708268267481712E+00  0.145235640994558E+00
-.717603795834097E+00  -.413061913973091E+00  0.377116126710888E+00

9          17
-.927961645959570E+00  -.750277099978901E+00  0.112099602129596E+00
-.750277099978901E+00  0.927961645959570E+00  0.112099602129596E+00
0.927961645959570E+00  0.750277099978901E+00  0.112099602129596E+00
0.750277099978901E+00  -.927961645959570E+00  0.112099602129596E+00
-.630680119731669E+00  -.968849966361978E+00  0.888793781701987E-01
-.968849966361978E+00  0.630680119731669E+00  0.888793781701987E-01
0.630680119731669E+00  0.968849966361978E+00  0.888793781701987E-01
0.968849966361978E+00  -.630680119731669E+00  0.888793781701987E-01
-.852615729333662E+00  -.762083281926172E-01  0.269051337639781E+00
-.762083281926172E-01  0.852615729333662E+00  0.269051337639781E+00
0.852615729333662E+00  0.762083281926172E-01  0.269051337639781E+00
0.762083281926172E-01  -.852615729333662E+00  0.269051337639781E+00
-.453339821135647E+00  -.523735820214429E+00  0.398282439262070E+00
-.523735820214429E+00  0.453339821135647E+00  0.398282439262070E+00
0.453339821135647E+00  0.523735820214429E+00  0.398282439262070E+00
0.523735820214429E+00  -.453339821135647E+00  0.398282439262070E+00
0.000000000000000E+00  0.000000000000000E+00  0.526748971193416E+00

10          22
-.985383311931460E+00  0.624024379589848E+00  0.333871292470728E-01
-.926210500125839E+00  -.957749591600075E+00  0.344675255889838E-01
-.911958871035734E+00  0.206501346198872E+00  0.134609773861981E+00
-.879234804399032E+00  0.922548168257412E+00  0.625379411875522E-01
0.755126920614355E+00  -.953801922342551E+00  0.718058987605168E-01
-.318845359683929E+00  0.940618557199212E+00  0.119841585323913E+00
-.647494698175254E+00  0.647635484262675E+00  0.230570045533701E+00
0.949219131408870E+00  0.114295173642238E+00  0.118617672074660E+00
-.618866191392992E+00  -.107332278651087E+00  0.314988782212312E+00
-.921529075578983E+00  -.508913190429607E+00  0.133377311922401E+00
-.104312325566364E+00  -.966342083687359E+00  0.979404294841319E-01
0.970718373967775E+00  -.752965632479960E+00  0.591101951503511E-01
0.924668424290536E+00  0.811715106016487E+00  0.886862022169754E-01
-.165578525100383E+00  -.473248988492766E+00  0.371717649308962E+00
-.184471720621220E+00  0.350726726089190E+00  0.388114474024409E+00
0.666647330598211E+00  0.471139214907017E+00  0.283958422182790E+00
-.611596783034925E+00  -.810374922601918E+00  0.200183206202775E+00
0.318793575936407E+00  -.321100231203867E-01  0.408241977261546E+00
0.366313916780679E+00  -.760506550713974E+00  0.260423976819169E+00
0.210527389148216E+00  0.778825415983185E+00  0.265871134771261E+00
0.763111493924383E+00  -.392474875396096E+00  0.258279394103428E+00
0.625866193532397E+00  0.981711926404797E+00  0.632692727611111E-01

11          24
-.953539528201532E+00  -.188586138718642E+00  0.973867773586682E-01
-.188586138718642E+00  0.953539528201532E+00  0.973867773586682E-01
0.953539528201532E+00  0.188586138718642E+00  0.973867773586682E-01
0.188586138718642E+00  -.953539528201532E+00  0.973867773586682E-01
-.698076104549568E+00  -.982639223540855E+00  0.480207633507238E-01
-.982639223540855E+00  0.698076104549568E+00  0.480207633507238E-01
0.698076104549568E+00  0.982639223540855E+00  0.480207633507238E-01
0.982639223540855E+00  -.698076104549568E+00  0.480207633507238E-01
