1           1
0.805979782918599E+00  -.805979782918599E+00  0.237431774690630E+00
-.925820099772551E+00  0.000000000000000E+00  0.241975308641975E+00
0.000000000000000E+00  0.925820099772551E+00  0.241975308641975E+00
0.925820099772551E+00  0.000000000000000E+00  0.241975308641975E+00
0.000000000000000E+00  -.925820099772551E+00  0.241975308641975E+00

8          17
-.927961645959570E+00  -.750277099978901E+00  0.112099602129596E+00
-.750277099978901E+00  0.927961645959570E+00  0.112099602129596E+00
0.927961645959570E+00  0.750277099978901E+00  0.112099602129596E+00
0.750277099978901E+00  -.927961645959570E+00  0.112099602129596E+00
-.630680119731669E+00  -.968849966361978E+00  0.888793781701987E-01
-.968849966361978E+00  0.630680119731669E+00  0.888793781701987E-01
0.630680119731669E+00  0.968849966361978E+00  0.888793781701987E-01
0.968849966361978E+00  -.630680119731669E+00  0.888793781701987E-01
-.852615729333662E+00  -.762083281926172E-01  0.269051337639781E+00
-.762083281926172E-01  0.852615729333662E+00  0.269051337639781E+00
0.852615729333662E+00  0.762083281926172E-01  0.269051337639781E+00
0.762083281926172E-01  -.852615729333662E+00  0.269051337639781E+00
-.453339821135647E+00  -.523735820214429E+00  0.398282439262070E+00
-.523735820214429E+00  0.453339821135647E+00  0.398282439262070E+00
0.453339821135647E+00  0.523735820214429E+00  0.398282439262070E+00
0.523735820214429E+00  -.453339821135647E+00  0.398282439262070E+00
0.000000000000000E+00  0.000000000000000E+00  0.526748971193416E+00

9          17
-.927961645959570E+00  -.750277099978901E+00  0.112099602129596E+00
-.750277099978901E+00  0.927961645959570E+00  0.112099602129596E+00
0.927961645959570E+00  0.750277099978901E+00  0.112099602129596E+00
0.750277099978901E+00  -.927961645959570E+00  0.112099602129596E+00
-.630680119731669E+00  -.968849966361978E+00  0.888793781701987E-01
-.968849966361978E+00  0.630680119731669E+00  0.888793781701987E-01
0.630680119731669E+00  0.968849966361978E+00  0.888793781701987E-01
0.968849966361978E+00  -.630680119731669E+00  0.888793781701987E-01
-.852615729333662E+00  -.762083281926172E-01  0.269051337639781E+00
-.762083281926172E-01  0.852615729333662E+00  0.269051337639781E+00
0.852615729333662E+00  0.762083281926172E-01  0.269051337639781E+00
0.762083281926172E-01  -.852615729333662E+00  0.269051337639781E+00
-.453339821135647E+00  -.523735820214429E+00  0.398282439262070E+00
-.523735820214429E+00  0.453339821135647E+00  0.398282439262070E+00
0.453339821135647E+00  0.523735820214429E+00  0.398282439262070E+00
0.523735820214429E+00  -.453339821135647E+00  0.398282439262070E+00
0.000000000000000E+00  0.000000000000000E+00  0.526748971193416E+00

10          24
-.953539528201532E+00  -.188586138718642E+00  0.973867773586682E-01
-.188586138718642E+00  0.953539528201532E+00  0.973867773586682E-01
0.953539528201532E+00  0.188586138718642E+00  0.973867773586682E-01
0.188586138718642E+00  -.953539528201532E+00  0.973867773586682E-01
-.698076104549568E+00  -.982639223540855E+00  0.480207633507238E-01
-.982639223540855E+00  0.698076104549568E+00  0.480207633507238E-01
0.698076104549568E+00  0.982639223540855E+00  0.480207633507238E-01
0.982639223540855E+00  -.698076104549568E+00  0.480207633507238E-01
-.939486382816737E+00  -.825775835902964E+00  0.660713291645506E-01
-.825775835902964E+00  0.939486382816737E+00  0.660713291645506E-01
0.939486382816737E+00  0.825775835902964E+00  0.660713291645506E-01
0.825775835902964E+00  -.939486382816737E+00  0.660713291645506E-01
-.712001913075336E+00  -.525320250364548E+00  0.225626061728863E+00
-.525320250364548E+00  0.712001913075336E+00  0.225626061728863E+00
0.712001913075336E+00  0.525320250364548E+00  0.225626061728863E+00
0.525320250364548E+00  -.712001913075336E+00  0.225626061728863E+00
-.315623432915254E+00  -.812520548304813E+00  0.211736349998949E+00
-.812520548304813E+00  0.315623432915254E+00  0.211736349998949E+00
0.315623432915254E+00  0.812520548304813E+00  0.211736349998949E+00
0.812520548304813E+00  -.315623432915254E+00  0.211736349998949E+00
-.424847248848669E+00  -.416580719120224E-01  0.351158718398245E+00
-.416580719120224E-01  0.424847248848669E+00  0.351158718398245E+00
0.424847248848669E+00  0.416580719120224E-01  0.351158718398245E+00
0.416580719120224E-01  -.424847248848669E+00  0.351158718398245E+00

11          24
-.953539528201532E+00  -.188586138718642E+00  0.973867773586682E-01
